2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,390,431,Administration,Y,"451,556",0,"451,556",0,0,0,0,0,0,"451,556",0,"451,556",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,400,432,Servicewide Communications,Y,"1,888,123","201,000","2,089,123",0,0,0,0,0,0,"1,888,123","201,000","2,089,123",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,410,433,Manpower Management,Y,"276,403",0,"276,403",0,0,0,0,0,0,"276,403",0,"276,403",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,420,434,Other Personnel Support,Y,"369,443",0,"369,443","105,508",0,0,"105,508",0,"105,508","474,951",0,"474,951",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,430,435,Other Service Support,Y,"1,096,074",0,"1,096,074",0,0,0,0,0,0,"1,096,074",0,"1,096,074",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,440,436,Army Claims Activities,Y,"207,800",0,"207,800",0,0,0,0,0,0,"207,800",0,"207,800",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,450,437,Real Estate Management,Y,"240,641",0,"240,641","165,678","20,226",0,"185,904","-18,852","167,052","407,693",0,"407,693",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,43,Servicewide Support,460,438,Financial Management and Audit Readiness,Y,"250,612","10,000","260,612",0,0,0,0,0,0,"250,612","10,000","260,612",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,44,Support of Other Nations,470,441,International Military Headquarters,Y,"416,587",0,"416,587",0,0,0,0,0,0,"416,587",0,"416,587",U
2020A,"Operation & Maintenance, Army",ARMY,04,Admin & Srvwide Activities,44,Support of Other Nations,480,442,Misc. Support of Other Nations,Y,"36,666",0,"36,666",0,0,0,0,0,0,"36,666",0,"36,666",U
2020A,"Operation & Maintenance, Army",,04,Admin & Srvwide Activities,,,,9999,Classified Programs,Y,"1,151,023","35,346","1,186,369","835,551","73,727","25,230","934,508","-83,353","851,155","1,976,948","60,576","2,037,524",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,11,Land Forces,010,112,Modular Support Brigades,Y,"11,435",0,"11,435",708,0,0,708,0,708,"12,143",0,"12,143",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,11,Land Forces,020,113,Echelons Above Brigade,Y,"491,772",0,"491,772","14,822",0,0,"14,822",0,"14,822","506,594",0,"506,594",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,11,Land Forces,030,114,Theater Level Assets,Y,"116,163",0,"116,163",375,0,0,375,0,375,"116,538",0,"116,538",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,11,Land Forces,040,115,Land Forces Operations Support,Y,"563,524",0,"563,524","2,088",0,0,"2,088",0,"2,088","565,612",0,"565,612",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,11,Land Forces,050,116,Aviation Assets,Y,"91,162",0,"91,162",608,0,0,608,0,608,"91,770",0,"91,770",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,12,Land Forces Readiness,060,121,Force Readiness Operations Support,Y,"347,459",0,"347,459","5,425",0,0,"5,425",0,"5,425","352,884",0,"352,884",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,12,Land Forces Readiness,070,122,Land Forces Systems Readiness,Y,"101,926",0,"101,926",0,0,0,0,0,0,"101,926",0,"101,926",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,12,Land Forces Readiness,080,123,Land Forces Depot Maintenance,Y,"56,219",0,"56,219",0,0,0,0,0,0,"56,219",0,"56,219",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,13,Land Forces Readiness Support,090,131,Base Operations Support,Y,"573,843","17,700","591,543","14,653",0,0,"14,653",0,"14,653","588,496","17,700","606,196",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,13,Land Forces Readiness Support,100,132,"Facilities Sustainment, Restoration & Modernization",Y,"214,955","13,700","228,655",0,0,0,0,0,0,"214,955","13,700","228,655",U
2080A,"Operation & Maintenance, Army Res",ARMY,01,Operating Forces,13,Land Forces Readiness Support,110,133,Management and Operational Headquarters,Y,"37,620",0,"37,620",0,0,0,0,0,0,"37,620",0,"37,620",U
2080A,"Operation & Maintenance, Army Res",ARMY,04,Admin & Srvwd Activities,42,Logistics Operations,120,421,Servicewide Transportation,Y,"11,027",0,"11,027",0,0,0,0,0,0,"11,027",0,"11,027",U
2080A,"Operation & Maintenance, Army Res",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,130,431,Administration,Y,"16,749",0,"16,749",0,0,0,0,0,0,"16,749",0,"16,749",U
2080A,"Operation & Maintenance, Army Res",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,140,432,Servicewide Communications,Y,"17,825",0,"17,825",0,0,0,0,0,0,"17,825",0,"17,825",U
2080A,"Operation & Maintenance, Army Res",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,150,433,Manpower Management,Y,"6,177",0,"6,177",0,0,0,0,0,0,"6,177",0,"6,177",U
2080A,"Operation & Maintenance, Army Res",ARMY,04,Admin & Srvwd Activities,43,Servicewide Support,160,434,Recruiting and Advertising,Y,"54,475",0,"54,475",0,0,0,0,0,0,"54,475",0,"54,475",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,11,Land Forces,010,111,Maneuver Units,Y,"708,251","8,000","716,251","16,149",0,0,"16,149",0,"16,149","724,400","8,000","732,400",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,11,Land Forces,020,112,Modular Support Brigades,Y,"197,251",0,"197,251",748,0,0,748,0,748,"197,999",0,"197,999",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,11,Land Forces,030,113,Echelons Above Brigade,Y,"792,271",0,"792,271","34,707",0,0,"34,707",0,"34,707","826,978",0,"826,978",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,11,Land Forces,040,114,Theater Level Assets,Y,"80,341",0,"80,341","10,472",0,0,"10,472",0,"10,472","90,813",0,"90,813",U
2065A,"Operation & Maintenance, ARNG",ARMY,01,Operating Forces,11,Land Forces,050,115,Land Forces Operations Support,Y,"37,138",0,"37,138",0,0,0,0,0,0,"37,138",0,"37,138",U
