2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,69  ,0604114A,Lower Tier Air Missile Defense (LTAMD) Sensor,Y,"35,132",0,"35,132",0,0,0,0,0,0,"35,132",0,"35,132",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,70  ,0604115A,Technology Maturation Initiatives,Y,"70,047",0,"70,047",0,0,0,0,0,0,"70,047",0,"70,047",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,71  ,0604120A,"Assured Positioning, Navigation and Timing (PNT)",Y,"83,279",0,"83,279",0,0,0,0,0,0,"83,279",0,"83,279",U
2040A,"Research, Development, Test & Eval, Army",ARMY,04,Advanced Component Development & Prototypes,72  ,0305251A,Cyberspace Operations Forces and Force Support,Y,"40,510",0,"40,510",0,0,0,0,0,0,"40,510",0,"40,510",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,73  ,0604201A,Aircraft Avionics,Y,"83,248",0,"83,248",0,0,0,0,0,0,"83,248",0,"83,248",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,74  ,0604270A,Electronic Warfare Development,Y,"34,642","2,600","37,242",0,0,0,0,0,0,"34,642","2,600","37,242",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,75  ,0604290A,Mid-tier Networking Vehicular Radio (MNVR),Y,"12,172",0,"12,172",0,0,0,0,0,0,"12,172",0,"12,172",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,76  ,0604321A,All Source Analysis System,Y,"3,958",0,"3,958",0,0,0,0,0,0,"3,958",0,"3,958",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,77  ,0604328A,TRACTOR CAGE,Y,"12,525",0,"12,525",0,0,0,0,0,0,"12,525",0,"12,525",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,78  ,0604601A,Infantry Support Weapons,Y,"66,943",0,"66,943",0,0,0,0,0,0,"66,943",0,"66,943",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,79  ,0604611A,JAVELIN,Y,"20,011",0,"20,011",0,0,0,0,0,0,"20,011",0,"20,011",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,80  ,0604622A,Family of Heavy Tactical Vehicles,Y,"11,429",0,"11,429",0,0,0,0,0,0,"11,429",0,"11,429",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,81  ,0604633A,Air Traffic Control,Y,"3,421",0,"3,421",0,0,0,0,0,0,"3,421",0,"3,421",U
